file,sample_rate,duration,valid_sr,valid_duration,not_silent,passes_all
ml_data/processed/bike/bike_0090.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0091.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0092.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0093.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0094.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0095.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0096.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0097.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0098.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0099.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0100.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0101.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0102.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0103.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0104.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0105.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0106.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0107.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0108.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0109.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0110.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0111.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0112.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0113.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0114.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0115.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0116.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0117.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0118.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0119.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0120.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0121.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0122.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0123.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0124.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0125.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0126.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0127.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0128.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0129.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0130.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0131.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0132.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0133.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0134.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0135.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0136.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0137.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0138.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0139.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0140.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0141.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0142.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0143.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0144.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0145.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0146.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0147.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0148.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0149.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0150.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0151.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0152.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0153.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0154.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0155.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0156.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0157.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0158.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0159.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0160.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0161.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0162.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0163.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0164.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0165.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0166.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0167.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0168.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0169.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0170.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0171.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0172.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0173.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0174.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0175.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0176.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0177.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0178.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0179.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0180.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0181.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0182.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0183.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0184.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0185.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0186.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0187.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0188.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0189.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0190.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0191.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0192.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0193.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0194.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0195.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0196.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0197.wav,48000,10.0,True,True,True,True
